# GENERATED by tests/unit/t_flake_lock_names_no_private_input.nim.
# Regenerate with: REPRO_FLAKE_VISIBILITY_REFRESH=1 <the compiled gate>
# Do NOT hand-edit: a hand-written row is a guess, and a guess that
# says `public` about a private repository is precisely the failure
# this file is here to make impossible.
#
# A `# residual:` line records an identity this repository does NOT
# declare and cannot make public from here. The gate asserts the set of
# them EXACTLY, so a new one fails and a stale one fails too.
#
# An `# unverifiable:` line records a REPOSITORY this gate cannot ask
# about, because it is not on GitHub and there is no client here for
# its host. That is NOT the same as `non-vcs`, which means the entry
# is an archive rather than a repository. The set of them is asserted
# exactly, so a new non-GitHub input fails rather than joining the
# list silently, and no DECLARED input is allowed to be one.
#
# A non-public row is expected to be TRANSIENT, and it does cost
# something while it is here: it puts the word next to a name this
# file would otherwise only be repeating from the lock beside it. That
# is the trade for a gate that fails when a second one appears, and it
# ends when the row does -- this file is regenerated from the lock, so
# an identity that leaves the lock leaves this file on the next
# refresh.
# residual: metacraft-labs/codetracer-native-recorder -- inherited through an upstream flake's own pin; clears when that pin moves past the commit that dropped the input
# unverifiable: https://spectrum-os.org/git/spectrum -- a git-other repository; this gate has no client for that host, so its visibility is NOT established here
# unverifiable: rycee/nmt -- a gitlab repository; this gate has no client for that host, so its visibility is NOT established here
# unverifiable: ~rycee/nmd -- a sourcehut repository; this gate has no client for that host, so its visibility is NOT established here
# identity	visibility
andreymatin/scss-reset	public
astro/microvm.nix	public
cachix/cachix	public
cachix/devenv	public
cachix/git-hooks.nix	public
cachix/nix	public
cachix/pre-commit-hooks.nix	public
cheatfate/nimcrypto	public
edolstra/flake-compat	public
enzime/nix-vm-test	public
gerschtli/nix-formatter-pack	public
gytis-ivaskevicius/flake-utils-plus	public
hercules-ci/flake-parts	public
hercules-ci/gitignore.nix	public
hercules-ci/hercules-ci-effects	public
https://api.flakehub.com/f/pinned/edolstra/flake-compat/1.1.0/01948eb7-9cba-704f-bbf3-3fa956735b52/source.tar.gz	non-vcs
https://channels.nixos.org/nixos-unstable/nixexprs.tar.xz	non-vcs
https://flakehub.com/f/edolstra/flake-compat/1.tar.gz	non-vcs
https://releases.nixos.org/nixos/unstable/nixos-26.05pre960399.9dcb002ca169/nixexprs.tar.xz	non-vcs
https://spectrum-os.org/git/spectrum	unverified-host
ipetkov/crane	public
juliosueiras-nix/nix-utils	public
metacraft-labs/codetracer	public
metacraft-labs/codetracer-native-recorder	private
metacraft-labs/codetracer-trace-format-nim	public
metacraft-labs/devops-modules	public
metacraft-labs/ethereum.nix	public
metacraft-labs/io-mon	public
metacraft-labs/nim	public
metacraft-labs/nim-result	public
metacraft-labs/nim-shm-gset	public
metacraft-labs/nim-shm-lease	public
metacraft-labs/nim-shm-queue	public
metacraft-labs/nim-stackable-hooks	public
metacraft-labs/nixos-modules	public
metacraft-labs/reprobuild	public
metacraft-labs/reprobuild-ct-test-runner	public
metacraft-labs/reprobuild-test-adapters	public
metacraft-labs/runquota	public
mic92/bun2nix	public
nim-lang/checksums	public
nim-lang/csources_v3	public
nim-lang/nimony	public
nix-community/crate2nix	public
nix-community/disko	public
nix-community/fenix	public
nix-community/home-manager	public
nix-community/nix-bundle	public
nix-community/nix-on-droid	public
nix-community/nixd	public
nix-community/nixos-images	public
nix-community/nixos-vscode-server	public
nix-darwin/nix-darwin	public
nix-systems/default	public
nixos/bundlers	public
nixos/nixpkgs	public
nlewo/nix2container	public
numtide/blueprint	public
numtide/devshell	public
numtide/flake-utils	public
numtide/llm-agents.nix	public
numtide/nixos-anywhere	public
numtide/treefmt-nix	public
oddlama/nix-topology	public
oxalica/rust-overlay	public
petarkirov/dlang.nix	public
ralismark/nix-appimage	public
rossng/crate2nix	public
rust-lang/rust-analyzer	public
ryantm/agenix	public
rycee/nmt	unverified-host
shazow/foundry.nix	public
status-im/nim-bearssl	public
status-im/nim-stew	public
stoeffel/nix-test-runner	public
terranix/terranix	public
vic/import-tree	public
~rycee/nmd	unverified-host
